total time played
300.3572
146.4044
394.4171
275.6913
145.1161
456.4846
193.0681
194.1721
184.6511
185.6162
194.1721
474.5066
330.5652
441.2115
45.08572
308.1552
337.4991
481.3725
408.2337
413.6503
251.3428
139.255
312.6074
660.6024
405.6497
417.4682
186.8564
763.7867
145.1161
374.3891
549.8759
184.856
433.8034
474.5066
139.255
528.716
327.0793
184.856
232.7634
