total time played
252.3964
265.8767
280.7393
208.0536
371.9189
981.7284
142.8779
557.6011
336.8654
415.7078
387.4151
507.4775
422.0352
349.2978
507.4775
420.1833
251.3929
380.3407
372.2075
265.9498
186.6486
848.0241
849.1408
704.2382
336.8654
781.4504
396.356
333.2259
297.7428
265.8767
497.6878
326.0446
401.8433
252.3964
1043.545
347.5002
396.356
